title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,duration,uploadTime
Anchor Media 'ashaaraa yamiqamathawe taarikene bamadamesasenaa bahezebe saqoqaa laaye 'ayedalame,0V_K8bhbvmc,39620,2161,0,178,0,PT19M21S,2024-10-15 03:15:45
Anchor Media 'adise 'ababaa yahezebe quthaa lifanadaa yecelaale: yafaano delocenaa ya'agazaazu yachekaanee 'eremejaawoce: yahewehate mariwoce deje thenaate ba'adise 'ababaa,m0fDdANb2Xo,62090,3137,0,304,0,PT1H20M29S,2024-10-15 01:20:00
Anchor yamerekonyaa gorefe  &#39;&#39;wanedemocaacene naacawe: 'enekwaane saayemotu ka'enyaa 'eje gabu. yamenebalaawene yebalaalu. gizeewe sidarese kabeetasabocaacawe gaare yeganaanyaalu&#39;&#39;,aUgmAdA1Gzc,174784,8018,0,733,0,PT22M2S,2024-10-14 01:30:49
Anchor yawalediyaa waqetaawi huneetaa: yafaano deloce baya'aqethaachaawe: ba'adise 'ababaa farasaawe tathanaakero qathelwale: yamitarefe safare yalame: yabeletsegenaawe nabeye tenebite,WExLtXZkFjY,122279,6168,0,741,0,PT1H42M52S,2024-10-14 05:45:41
"Zakir Naik Controversy In Pakistan: Female News Anchor pr jaakir kaa ghttiyaa Comment, paak meN mcaa bvaal",IP8kX7rkK1Y,21545,171,0,281,0,PT3M37S,2024-10-13 18:45:06
Anchor Media 'adise 'ababaane maane yaadenaate? yafaano delocenaa ya'abeye 'ahemade 'agazaaze kisaaraa: yamakalaakayaa yakebere 'abaalaate samonenyaa quthaa: yategeraaye qawese,VQxo5zzpkvA,85253,3949,0,361,0,PT1H33M15S,2024-10-12 09:58:56
Anchor Breaking sabare zeenaa,pdGZZ54rmBM,116364,3217,0,258,0,PT22S,2024-02-05 13:27:30
Anchor Media &#39;&#39;qathaayu tale`eko thorenatune ka'amaaraa kelele maawethaate nawe&#39;&#39; ra/pe geetaa 'aseraada - ya'amaaraa faano hezebaawi derejete yapolatikaa mameriyaa haalaafi,WkKfMVdA1ow,177000,6692,0,926,0,PT55M33S,2024-10-12 03:26:02
Actor Noel Sean Exclusive Interview | Anchor Shiva | iDream Media,DVovmIY9f5Q,1727,61,0,3,0,PT59M19S,2024-10-15 05:30:06
Anchor (hamuse `elate yataqaratsa) yafaano deloce: 'adise 'ababaa maadaane teyopheyaane maadaane nawe: daberatsiyone ba'adise 'ababaa: 'asemaraa yataganaanyute sosetu hagaraate,fkxXDptQw8o,91898,3260,0,244,0,PT1H27M47S,2024-10-11 12:12:46
Anchor Media &#39;&#39;merechaacene bahagaraacene maseraate nabare. gene selaalecaalene: tasadadene&#39;&#39; gaazeethanyaa balaaye maanaayee,Ie0lqjNLLGg,74515,3254,0,180,0,PT15M21S,2024-09-18 20:10:23
Where do Republicans come up with these theories?,39171lAF1Xk,449416,31880,0,855,0,PT53S,2024-10-09 22:00:01
Anchor Media balemaate seme yasawe leje sifarese ba`aayenee 'ayahute - ba'azeebe warequ,HupPcaB7Vv0,111498,4916,0,489,0,PT7M22S,2024-09-14 13:56:51
"InstaClass on 'Skill of Anchoring' with Kavita Ralhan, Anchor, Media Professional",ZV55n266Tgk,716,0,0,0,0,PT5M50S,2021-03-12 09:55:51
Anchor News Update fenotasalaame: damebachaa bafaano tayezawaale: ya'amaaraa midiyaa koreporeeshene laaye yabomebe theqaate tafatsama,5XWsk13_4IA,195441,8235,0,467,0,PT12M12S,2024-10-04 18:14:04
Anchor Media haayemaanotaawiwenaa polatikaawiwe reecaa,AhBQsay6gWs,14911,1001,0,82,0,PT26M11S,2024-10-05 15:33:28
Melissa Francis: From Child Star to Fox Business Anchor - Media Beat (1 of 3),netxufbyeaE,50855,239,0,25,0,PT6M2S,2012-08-06 20:08:54
Anchor Media &#39;&#39;yabeletsegenaane saraawite 'aferesanawaale. yamiqarawe matharaarage nawe&#39;&#39; ya'amaaraa faano gonedare `eze waanaa 'azaazhe shaalaqaa habetee waledee,dgDMNMBWK84,174940,7124,0,449,0,PT12M30S,2024-09-18 13:53:58
Anchor Media &#39;&#39;baqerebu teleqe yadele zeenaa yenoranaale.&#39;&#39; 'arebanyaa 'aserase maara daamethee,WfKyYBMAkU8,204174,7820,0,519,0,PT22M12S,2024-10-04 04:41:14
Anchor Media ya'aferikaawe qanede fethechaa bawataadaraawi makonenu `aayene,AMnXinI63lE,75495,3028,0,252,0,PT1H14M40S,2024-09-15 02:01:13
Anchor Media ba'oromiyaa kelele yaqathalawe ya'oretodokesaaweyaane gedeyaa: ya'amaaraa kelelu felemiyaa: konomiwe 'asheqolequlwale: reecaa wararaa wayese ba`aale,N3tZFXJAjuc,95507,4389,0,380,0,PT1H25M3S,2024-10-02 06:36:25
Crisna Chaitanya Reddy And Vamsee Krishna Reddy Exclusive Full Interview | Anchor Shiva | IDream,LTXt-z0hklI,286134,4369,0,1019,0,PT1H52M11S,2024-10-07 09:30:31
Anchor Update yabereshalaqo wataadaraawi maasalethanyaa kaamepe laaye theqaate tafatsama,uU6R5PfILfw,221329,8523,0,487,0,PT8M4S,2024-10-08 20:09:28
Anchor Media ba'amaaraa ka30shihe balaaye sawoce taaserawaale: yafilede maareshaalu qaale nathebe mathaale wayese maaseqothare: yajaawaare tezebete: ya'amebaasaadaru thanekaaraa male`ekete,VFAhVo0VwOc,58255,2505,0,155,0,PT1H35M28S,2024-10-01 07:29:36
Anchor nrre phoo laiv aayi Unlock ceytppoo  Mentalist Trick,buwVmT2ce0o,1769029,118429,0,238,0,PT48S,2024-10-12 05:40:05
Anchor Media bamalaa gojaame kafetanyaa wegiyaawoce 'eyadaragu nawe,5vOHWe3IErA,110338,5487,0,260,0,PT8M50S,2024-08-15 20:19:16
Anchor Media sameene walo qaalime 'anede reejemanete thore katheqeme wechi tadaregwaale. &#39;&#39;la'adise `aamate 'adise nagare thabequ&#39;&#39; wegiyaawene yamaru yafaano 'amaraare,FbIIwxoJZ_w,125101,5926,0,378,0,PT8M22S,2024-09-08 19:28:58
Anchor Special ya'abeye 'ahemade yathelaacaa negegeroce,TGII2yhyQm0,138099,5609,0,566,0,PT18M47S,2024-05-12 03:50:29
Anchor Media yateyopheyaa 'oretodokese beetakeresetiyaane batheleqe fatanaa wesethe naate,y2I6eZEM4ok,23989,1517,0,107,0,PT1H12M50S,2024-10-03 00:06:21
"Storm Milton, major disaster #shorts",zdEpD76ekdM,102960,2645,0,117,0,PT24S,2024-10-11 23:11:06
Anchor Media &#39;&#39;ya'abeye 'ahemade yakonomi polisi gabayaa mare saayehone thamanejaa mare nawe&#39;&#39; pe/re tashoma 'ababa,O3JC6Lf9_jw,62566,2370,0,166,0,PT1H22M31S,2024-09-07 13:35:35
